"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"Quale tra queste NON può essere un network ID:","130.192.55.0/16","130.192.55.0/24","130.192.16.0/20","130.192.16.0/24","A","l’unico IP problematico rispetto alla definizione di network ID è la A in quanto dovrebbero essere presenti 16 bit di parte rete e 16 di parte host. Pertanto ci aspettiamo una struttura del tipo 130.192.0.0/16. Il terzo Byte a 55 invece si traduce in binario come 00110111 (32+16+4+2+1) che chiaramente ha dei bit diversi da zero."
"Una sorgente deve inviare 6 PDU usando un protocollo Go-Back-N con ACK cumulativi e con finestra di trasmissione pari a 3 PDU, numerandole a partire da 1. Dopo la trasmissione della prima finestra, e prima della scadenza del timeout, l’unica conferma ricevuta è ACK 3. Quale delle seguenti azioni è plausibile sia eseguita dalla sorgente:","La sorgente ritrasmette la PDU 2","La sorgente invia le PDU 3 e 4","La sorgente invia le PDU 4 e 5","La sorgente non invia più nulla e attende la scadenza del timeout","C","l’ACK 3 fa avanzare la finestra di 2 posizioni [3 4 5], non essendo giunti al timeout non ritrasmettiamo la PDU 3 perché immaginiamo che questa non sia ancora arrivata a destinazione e ci limitiamo a trasmettere le PDU 4 e 5."
"Quale campo nell'intestazione IP viene usato per evitare che un pacchetto venga inoltrato da più di N router?","Indirizzo di destinazione","Versione","Nessuna delle risposte","","C","il campo che viene usato è il TTL che viene decrementato di uno da ciascun router per cui passa. Nel momento in cui si giunge a TTL=0 il pacchetto viene scartato e, opzionalmente, viene inviato all’host sorgente un pacchetto ICMP."
"In una rete WiFi l’uso dei messaggi RTS/CTS","Elimina le collisioni con altre stazioni","Riduce la probabilità di collisione tra le stazioni","","","B","Le collisioni non sono mai eliminate"
"Quale delle seguenti affermazioni sul NAT è vera?","Il NAT utilizza una combinazione indirizzo IP/porta per creare le associazioni tra host interni e destinazioni in internet","Il port forwarding è necessario per permettere la comunicazione tra gli host della rete interna verso internet","Il NAT assegna gli indirizzi IP in modo dinamico agli host della rete interna che ne facciano richiesta","È sempre possibile contattare da internet gli host della rete interna, senza particolari soluzioni aggiuntive","A","La B è scorretta perché il port forwarding fa l’esatto opposto (consente a host esterni alla rete di raggiungere un host all’interno passando per un’opportuna porta senza che ci sia stata una richiesta dall’interno). La C è la funzione del DHCP e non del NAT. La D è scorretta perché per contattare gli host della rete interna dall’esterno bisogna adoperare soluzioni quali il port forwarding o il nat traversal che sono studiate e configurate ad hoc."
"Quale dei seguenti non è un network ID?","192.168.16.0/20","130.192.36.128/25","13.0.0.0/8","192.168.16.0/16","D","l’unica scorretta è la D perché il suffisso /16 significa che sono presenti 16 bit di parte rete (e dunque 16 bit di host) ma nella parte host abbiamo il terzo Byte pari a 16 ovvero in binario 00001000 ma ciò non è compatibile con un network ID che è composto da tutti zeri nella parte host (terzo e quarto byte in questo caso)."
"Ad un router può essere associato:","Un solo indirizzo IP","Più indirizzi IP","","","B","Ogni router o nodo della rete può avere una o più interfacce associate, ognuna con il suo indirizzo IP."
"Il protocollo Aloha inizia a trasmettere","Dopo aver ascoltato il canale, sentendolo libero","Indipendentemente dallo stato del canale","","","B","Aloha trasmette a prescindere senza ascoltare il canale"
"La tecnica del byte stuffing nel protocollo PPP serve a","separare l'intestazione dal campo dati","rilevare correttamente l'inizio e la fine della trama","","","B","serve a identificare che il delimitatore sia univoco nel messaggio"
"Quale di queste affermazioni relative al protocollo HTTP 1.1 è vera?","HTTP 1.1 si basa su un paradigma client-server","HTTP 1.1 usa UDP a livello trasporto","HTTP 1.1 è dotato nativamente di uno stato (non è stateless)","I messaggi HTTP 1.1 usano una codifica binaria","A","Http usa TCP, è stateless e usa codifica ascii"
"L’operazione di frammentazione svolta dai router IPv4 è un esempio di:","Generazione di più 2-SDU da una 3-SDU","Generazione di più 3-SDU da una 3-PDU","Generazione di più 3-PDU da una 3-SDU","Generazione di più 2-SDU da una 3-PDU","C","quiz duplicato"
"Associare ad un canale trasmissivo un costo dinamico (ad esempio il carico sul canale) invece che un costo statico (ad esempio pari ad 1 per tutti i canali trasmissivi)","Può causare frequenti modifiche del percorso scelto da una sorgente ad una destinazione","Evita possibili oscillazioni nella scelta dei percorsi causate dalla variazione del costo nel tempo","È da preferire nel caso della commutazione di pacchetto ma non in quella di circuito","Riduce le variazioni nella scelta del percorso da una sorgente ad una destinazione","A","la risposta A è l’unica che ha senso nel caso in cui il costo cambi nel tempo. In particolare la B dice l’esatto opposto ovvero che, rendendo i costi variabili, i percorsi scelti (che ottimizzano i costi) cambino meno. La C è sbagliata perché introdurrebbe maggiore instabilità in una rete a commutazione di pacchetto. La D è praticamente la B riscritta."
"Si consideri una rete costituita da trasmettitore, nodo intermedio e ricevitore. Si hanno 2 pacchetti, ognuno della durata di 10 ms, che iniziano ad arrivare al nodo intermedio al tempo t = 20 ms. Il canale che collega nodo intermedio con il ricevitore ha velocità doppia rispetto al canale che collega il trasmettitore con il nodo intermedio. Supponendo che non ci sia alcun gap di tempo tra i 2 pacchetti, che non ci siano altri pacchetti in coda e che il tempo di elaborazione sia trascurabile, in quale istante di tempo viene completata la trasmissione?","40ms","50ms","45ms","70ms","C","La trasmissione dei pacchetti nel nodo intermedio inizia in parallelo alla ricezione e termina a metà della ricezione del secondo pacchetto in quanto la velocità del secondo canale è maggiore. Abbiamo pertanto che il primo pacchetto viene ricevuto completamente a 30ms dal nodo intermedio (e giunge a 35ms al ricevitore) e che il secondo arriva a 40ms e giunge al ricevitore a 45ms."
"Un nodo deve inviare 2200 byte di dati, utilizzando PDU da 900 byte con PCI da 100 byte, su un canale con velocità di trasmissione pari a 4Mbit/s. Quanto tempo è necessario per la trasmissione dell’ultimo pacchetto?","1.4ms","1.8ms","1ms","5ms","A","se la PDU ha 100 Byte di PCI significa che avrà 800 byte di SDU (dati). Pertanto formiamo 2 pacchetti completi e il terzo pacchetto avrà 600 Byte (2200 - 800*2) di SDU e 100 Byte di PCI arrivando a pesare 700 Byte. Trasformando la dimensione del pacchetto in bit otteniamo 5600 bit (700*8). Considerando che la velocità di trasmissione è 4Mbit/s (ovvero 4*10^6 bit/s) otteniamo che il tempo necessario a trasferire l’ultimo pacchetto è 1.4ms (5.6*10^3 bit / 4*10^6 bit/s)"
"Sia dato un canale da 100Mbit/s che condivide 2 connessioni TCP da 30Mbit/s e 2 connessioni UDP da 40Mbit/s. Quale delle seguenti affermazioni è corretta?","Le connessioni UDP bloccano le connessioni TCP","Le connessioni TCP hanno una velocità di trasmissione di 25Mbit/s, a causa del TCP Fairness.","Le connessioni UDP hanno una velocità di trasmissione di 30Mbit/s, a causa del controllo di congestione del TCP","Le connessioni TCP hanno una velocità di trasmissione di 10Mbit/s","D","le connessioni UDP adoperano la banda ad esse necessaria senza curarsi di eventuali altre connessioni (al massimo si perdono pacchetti se si satura la capacità dei buffer dei router). Pertanto nel caso presentato le connessioni UDP occupano 80Mbit/s. Alle connessioni TCP restano 20Mbit/s che dividono equamente in 10 e 10."
"Il bluetooth:","Usa Modulazione frequency hopping spread spectrum trasmissione radio a corto raggio Banda ISM collegati a un nodo Master a topologia centro stella","Usa Modulazione frequency hopping spread spectrum trasmissione radio a lungo raggio Banda Alta.","Viene usato solo da telefonia mobile per trasmettere.","","A","(Standard Reti Locali 2022 - Bluetooth ) Le risposte dell’esame erano simili"
"Quali tra queste e’ falsa per le VoIP?","RTP fornisce meccanismi per garantire la consegna in tempo reale","RTP puo’ essere usato per il trasferimento audio/video","SIP puo’ essere usato per aprire e chiudere una sessione","SIP fornisce meccanismi per determinare l’indirizzo del chiamato","A",""
"Selective repeat con Wt=Wr=4 e semantica degli ACK cumulativi, in cui il tempo di trasmissione della finestra è molto minore rispetto a RTT, devono essere trasmesse solo le PDU 0,1,2,3. Dopo la prima trasmissione di tutta la finestra il ricevitore riceve le PDU 0,2,3. Ipotizzando che successivamente nessun pacchetto venga perso, qual è la sequenza corretta che il ricevitore si vede arrivare dopo la prima ricezione della PDU 3?","1","1,2,3","0,1","0,1,2,3","B","Non ricevendo la PDU 1, il ricettore manderà solo ACK uguale a 1. Il trasmettitore, appena scadrà il timeout, rimanderà tutta la finestra non ancora confermata quindi le PDU 1,2,3; essendo RTT > durata trasmissione finestra, le 3 PDU saranno già state trasmesse prima che un ACK venga ricevuto dal trasmettitore. Sotto ipotesi che i successivi pacchetti dopo quelli della prima finestra non possono andare persi, il ricevitore riceverà le PDU 1,2,3. 9o"
"Qual è la velocità della tecnologia WiFi al giorno d’oggi?","Centinaia di Gigabit/s","Sull’ordine dei Tbit/s","Alcuni G igabit/s","Decine di Mbit/s","C",""
"La rete di accesso residenziale FTTx è costituita da","Una rete di distribuzione passiva in fibra ottica e, opzionalmente, da un segmento terminale in rame","Sempre interamente da una rete di distribuzione in fibra ottica attiva","Una rete di distribuzione passiva in rame e, opzionalmente, da un segmento terminale in fibra ottica","Da una rete di distribuzione ottica basata sulla tecnologia IEEE 802.3 Gigabit Ethernet","A","Per reti FTTx si intendono principalmente FTTC e FTTH (che si sono viste a lezione). Per FTTH si intende una rete completamente in fibra ottica (dalla centrale dell’operatore al router dell’utente finale) passiva (la versione attiva esisteva intorno a inizio 2000 e non è più in uso). La FTTC è invece una rete d’accesso in fibra ottica fino all’ultimo miglio (cabinet) e poi in rame fino all’utente finale. Pertanto la B è falsa perché la FTTC presenta anche componenti in rame, la C perché è l’opposto (al più la parte in rame è l’ultimo miglio, non avrebbe senso il contrario) e la D sempre per il discorso della componente in rame nella FTTC; inoltre non è detto che si usi il protocollo ethernet nella FTTH."
"Una modulazione numerica 16-QAM","Prevede l’invio di 16 bit ogni tempo di simbolo","Prevede l’invio di 4 bit ogni tempo di simbolo","Prevede l’invio di 4 simboli ogni tempo di bit","Prevede l’invio di 16 simboli ogni tempo di bit","B",""
"I server che implementano il database distribuito di DNS memorizzano i record di risorsa :","Il record di tipo A serve per ottenere un indirizzo IP dato l’host name","Il record CNAME serve per ottenere il nome canonico di un mail server","Il record di tipo A serve per fornire agli host richiedenti il nome canonico relativo a un host name","","A","la B non è vera in quanto il record CNAME non è per forza collegato a un mail server ma a un qualunque nome di dominio che funge da alias di un altro nome di dominio. La C è la definizione di record di tipo CNAME. La A è dunque corretta, trasforma infatti i domini in IPv4."
"Quale delle seguenti affermazioni riguardo a un router IP standard (senza funzionalità aggiuntive come firewall, NAT…) :","Il router modifica almeno un indirizzo IP dei pacchetti","Il router inoltra i datagram utilizzando delle trame, la trama in uscita ha almeno un indirizzo MAC diverso rispetto alla trama in arrivo","Gli host comunicano passando sempre attraverso un router","","B","La A è sbagliatissima, i datagram viaggiano invariati nella rete. Solo col nat può succedere che gli indirizzi ip cambino, per funzionalità aggiuntive. B) vera, la trama ha validità sulla singola rete fisica, cambia il MAC."
"Nel contesto degli algoritmi di routing LS, la tabella di routing di un nodo","È usata per calcolare il cammino a costo minimo verso gli altri nodi","È compilata una volta noto il cammino a costo minimo verso gli altri nodi","","","B",""
"I numeri di porta nei protocolli di livello 4:","Sono presenti unicamente in UDP","Sono presenti unicamente in TCP","Sono presenti sia in UDP che in TCP","Non riguardano i protocolli UDP e TCP","C","il multiplexing e demultiplexing, cioè quello che viene fatto coi numeri di porta, è una funzionalità obbligatoria su entrambi i protocolli di livello 4 disponibili su internet."
"In un sistema con protocollo WIFI 802.11, due terminali A e B trasmettono contemporaneamente, cosa può succedere?:","Il terminale B termina la trasmissione nel momento in cui riceve un NACK (Negative ACK)","Il terminale B attende di ricevere un ack","","","B",""
"Aggiungendo un canale bidirezionale tra due nodi di una topologia ad albero cosa succede","Si crea sempre un anello","Si crea un ciclo","","","B",""
"Nell’indirizzamento senza classi (classless) qual è la lunghezza del prefisso in una rete composta da 512 indirizzi IP?","22","23","","","B",""
"Il DNS","Utilizza UDP per risolvere nomi in indirizzi IP","È un server distribuito","","","A",""
"Il DHCP","Configura i parametri della rete IP sulla rete locale","Configura qualsiasi rete ne faccia richiesta","","","A",""
"Nel protocollo ALOHA tutte le stazioni usano trame della stessa durata, una stazione invia una trama che inizia al tempo t0 + 1100 e termina al tempo t0 + 1300. In quale dei seguenti istanti di inizio di una trasmissione da parte di un’altra stazione si verifica una collisione","t0 + 1370","t0 + 890","t0 + 910","t0 + 1310","C","nel protocollo ALOHA (non slotted) ogni stazione può iniziare a trasmettere in qualunque istante. Tra tutte le risposte l’unica trasmissione che si sovrappone con quella citata nella domanda è t0+910 perché termina in t0+1110. Pertanto se la stazione della domanda inizia a trasmettere all’istante t0+1100 sta trasmettendo con la frequenza già impegnata e ciò genera collisione."
"Usando Selective Repeat con finestra di trasmissione 10, numerando i pacchetti a partire da 0, trasmette la seguente la sequenza di PDU consecutive: 4 5 6, acquisendo la ricezione dell’ACK 9, assumendo il canale sequenziale e ACK cumulativi, quali delle seguenti affermazioni è vera:","Può trasmettere la PDU 19","Trasmette la PDU 8","Trasmette la PDU 7","Può trasmettere la PDU 18","D",""
"Nell’introduzione alle subnet mask nell’indirizzamento Internet:","Permette di suddividere una rete di classe B in più reti fisiche","Permette di utilizzare una sola rete logica IP su più reti fisiche","","","A",""
"Dato l'indirizzo IP 121.8.2.5 e la maschera di sottorete 255.0.0.0, qual è il Network ID risultante dall'operazione di AND logico?","121.8.2.0","121.8.1.0","121.8.0.0","Nessuna delle precedenti","D","Gli 0 annullano gli ultimi 3 ottetti per cui dovrebbe essere 128.0.0.0 che non è tra le opzioni"
"Nel processo di conversione da analogico a digitale, quale delle seguenti operazioni introduce un disturbo (errore) non invertibile (cioè una perdita di informazione irrecuperabile)?","Campionamento (Sampling) con frequenza almeno doppia della banda del segnale","Quantizzazione","Sia Campionamento che Quantizzazione","Mai, la conversione è sempre perfettamente reversibile","B",""
"In un'architettura di rete Client/Server, qual è la funzione principale del Server?","Fornire le risorse o scambiare le informazioni richieste dal client","Mappare gli indirizzi fisici in logici","Implementare le funzioni del livello di rete","Avviare la comunicazione verso il client","A",""
"Un trasmettitore invia i pacchetti con numero di sequenza da 0 a 3 utilizzando Selective Repeat, Se il trasmettitore riceve due ACK 1 consecutivi , quale delle seguenti sequenze di ricezione è possibile?","0 3 2 1","0 1 2 3","1 0 3 2","0 1 3 2","A","Il ricevitore dopo 1 vuole ricevere in ordine per cui a 3 e 2 manderà ancora ACK 1"
"Quale delle seguenti codifiche di linea garantisce una transizione di livello all'interno di ogni tempo di simbolo ?","Codifica nBmB","Bipolar (AMI)","NRZ (Non-Return-to-Zero)","RZ (Return-to-Zero)","D",""
"Si vuole trasmettere un blocco dati (SDU) di 2000 byte. La rete ha una dimensione massima del pacchetto) di 1000 byte. Sapendo che l’ultimo pacchetto trasmesso trasporta un payload di 400 byte, quanto misura l’intero pacchetto?","500 byte","600 byte","700 byte","800 byte","B","L’header sarà di 200 byte + 400 di payload quindi 600 byte in totale"
"Nel caso di un router con funzionalità di NAT, quale dei seguenti campi di un pacchetto IP inoltrato dalla rete locale non viene sicuramente modificato?","campo destination IP address","campo TTL","campo source IP address","campo source port","A",""
